Modul-Nr.,Modul-Name,Inhalt,Description
1,Das Web verstehen: HTML im Gesamtbild,Geschichte des World Wide Web - Entwicklung seit 1989 - Die Rolle des W3C - WHATWG und HTML Living Standard - Browserkriege und Standardisierung | Wie das Internet funktioniert - Client-Server-Modell - HTTP-Anfrage und Antwort - IP-Adressen und DNS - Rolle von Browsern | HTML als Auszeichnungssprache - Struktur vs. Darstellung - Hypertext-Konzept - Tags und Attribute - Syntax-Grundlagen | Das Zusammenspiel der Technologien - HTML für Struktur - CSS für Präsentation - JavaScript für Interaktion - Browser-Rendering-Engine | Webstandards und Best Practices - Validität und Konformität - Progressive Enhancement - Graceful Degradation - Barrierefreiheit als Grundprinzip,"Dieses Modul legt das Fundament für das Verständnis von HTML im Kontext des World Wide Web. Es beleuchtet die historische Entwicklung, die technischen Grundlagen der Webkommunikation und die Rolle von HTML als strukturgebende Sprache im Zusammenspiel mit CSS und JavaScript."
2,Arbeitsumgebung für modernes HTML,Editor und Entwicklungsumgebung - Auswahl eines Code-Editors - Installation und Konfiguration - Wichtige Plugins und Erweiterungen - Syntax-Highlighting und Autocomplete | Browser-Entwicklertools - Inspektor und Element-Untersuchung - Konsole für Fehleranalyse - Netzwerk-Tab verstehen - Responsive-Design-Modus nutzen | Lokaler Entwicklungsserver - Notwendigkeit eines lokalen Servers - Einrichtung mit Node.js oder Python - Live-Reloading und Hot Module Replacement - Umgang mit Pfaden und URLs | Versionskontrolle mit Git - Grundlagen von Git und GitHub - Commits und Branches - Zusammenarbeit im Team - Best Practices für HTML-Projekte | Kommandozeilen-Basics - Navigation im Terminal - Grundlegende Befehle - npm und Paketmanagement - Automatisierung von Aufgaben,Hier richten wir eine professionelle Arbeitsumgebung für die HTML-Entwicklung ein. Von der Wahl des richtigen Editors über den effektiven Einsatz von Browser-Entwicklertools bis hin zur Nutzung von Versionskontrolle und Kommandozeilen-Tools wird der Grundstein für effizientes Arbeiten gelegt.
3,"Dokumentstruktur: Doctype, html, head, body",Der HTML5-Doctype - Bedeutung und Funktion - Unterschiede zu älteren Versionen - Standard-Modus vs. Quirks-Modus - Korrekte Syntax | Das HTML-Wurzelelement - Aufbau des html-Tags - Das lang-Attribut und seine Bedeutung - Namespace-Definitionen - Verschachtelung von Elementen | Der Head-Bereich - Funktion und Inhalt des head - Titel der Seite - Meta-Tags für Charset und Viewport - Einbindung von externen Ressourcen | Der Body-Bereich - Sichtbarer Inhalt der Seite - Strukturierung des Inhalts - Semantische Abschnitte - Trennung von Inhalt und Metadaten | Kommentare und Whitespace - Einsatz von Kommentaren - Bedeutung von Leerzeichen und Zeilenumbrüchen - Lesbarkeit des Codes - Best Practices für Code-Dokumentation,"Dieses Modul behandelt die grundlegende Struktur eines HTML-Dokuments. Wir analysieren den Aufbau von Doctype, html, head und body und lernen, wie diese Elemente zusammenwirken, um eine valide und semantisch korrekte Webseite zu erstellen."
4,"Textsemantik: Überschriften, Absätze und Hervorhebungen",Überschriften-Hierarchie - Bedeutung von h1 bis h6 - Semantische Strukturierung - SEO-Relevanz von Überschriften - Vermeidung von Lücken in der Hierarchie | Absätze und Textblöcke - Das p-Element - Zeilenumbrüche mit br - Thematische Trennung mit hr - Präformatierter Text mit pre | Textauszeichnung und Bedeutung - Fett vs. wichtig (b vs. strong) - Kursiv vs. betont (i vs. em) - Markierungen mit mark - Unterstreichungen und Durchstreichungen | Zitate und Quellenangaben - Blockquotes für lange Zitate - Inline-Zitate mit q - Quellenangabe mit cite - Semantische Bedeutung von Zitaten | Listen und Aufzählungen - Ungeordnete Listen (ul) - Geordnete Listen (ol) - Definitionslisten (dl) - Verschachtelung von Listen,"Text ist das Herzstück des Webs. In diesem Modul lernen wir, Text semantisch korrekt zu strukturieren. Wir unterscheiden zwischen bloßer Formatierung und echter Bedeutung bei Überschriften, Absätzen und Hervorhebungen."
5,"Links, Pfade und Navigation","Der Anker-Tag - Syntax des a-Elements - Das href-Attribut - Linktexte und Barrierefreiheit - Titel-Attribut und Tooltips | Pfade und URLs - Absolute vs. relative Pfade - Protokolle (http, https, mailto) - Anker-Links innerhalb einer Seite - Verlinkung auf Dateien und Downloads | Link-Ziele und Verhalten - Öffnen in neuem Tab (target_blank) - Sicherheitsaspekte (rel_noopener) - Download-Attribute - Verlinkung von Telefonnummern | Navigationselemente - Semantisches nav-Element - Erstellung von Menüs - Breadcrumb-Navigation - Pagination und Blättern | Link-Status und Pseudo-Klassen - Besuchte vs. unbesuchte Links - Hover- und Focus-Zustände - Active-Status - Gestaltung von Links mit CSS","Links sind das verbindende Element des Webs. Wir untersuchen die verschiedenen Arten von Hyperlinks, verstehen Pfadstrukturen und lernen, wie man benutzerfreundliche und barrierefreie Navigationen aufbaut."
6,"Bilder, Medien und responsive Einbindung","Bilder im Web - Das img-Element - Wichtige Attribute (src, alt) - Bildformate (JPG, PNG, WebP, SVG) - Optimierung von Dateigrößen | Responsive Bilder - Das picture-Element - Das srcset-Attribut - Art Direction vs. Resolution Switching - Sizes-Attribut und Breakpoints | Vektorgrafiken mit SVG - Einbindung von SVG - Vorteile von Vektorgrafiken - Inline-SVG vs. externe Datei - Styling und Animation von SVG | Audio und Video - Das audio-Element - Das video-Element - Codecs und Formate - Untertitel und Captions (track) | Figuren und Beschriftungen - Das figure-Element - Das figcaption-Element - Semantische Verknüpfung von Bild und Text - Anwendungsfälle für figure","Ein Bild sagt mehr als tausend Worte. Dieses Modul widmet sich der Einbindung von Medien. Wir behandeln responsive Bilder, Vektorgrafiken sowie Audio- und Videoinhalte und deren semantisch korrekte Auszeichnung."
7,"Listen, Zitate und strukturierende Elemente",Listen-Typen im Detail - Ungeordnete Listen (ul) für Aufzählungen - Geordnete Listen (ol) für Abläufe - Definitionslisten (dl) für Glossare - Verschachtelung und komplexe Strukturen | Zitate und Referenzen - Das blockquote-Element für lange Zitate - Das q-Element für Inline-Zitate - Das cite-Element für Quellenangaben - Semantische Bedeutung und Screenreader-Support | Strukturierende Elemente - Das div-Element als Container - Das span-Element für Inline-Styling - Semantische vs. nicht-semantische Elemente - Wann div und span vermeiden | Adressen und Kontaktinformationen - Das address-Element - Semantische Bedeutung für Kontaktinfos - Abgrenzung zu bloßen Ortsangaben - Verknüpfung mit footer | Zeit und Datum - Das time-Element - Maschinenlesbare Zeitangaben - Datumsformate (ISO 8601) - Anwendungsfälle für Kalender und Events,"Struktur ist essenziell für lesbare Inhalte. Wir vertiefen unser Wissen über Listen und Zitate und lernen weitere Elemente kennen, die helfen, Inhalte logisch zu gruppieren und semantisch anzureichern."
8,Tabellen korrekt und barrierearm einsetzen,"Grundlagen von Tabellen - Das table-Element - Zeilen (tr) und Zellen (td) - Kopfzellen (th) und ihre Bedeutung - caption für Tabellenüberschriften | Strukturierung von Tabellen - thead, tbody und tfoot - Gruppierung von Zeilen - Semantische Gliederung komplexer Daten - Styling-Hooks für CSS | Verbinden von Zellen - colspan für Spaltenverbindung - rowspan für Zeilenverbindung - Herausforderungen bei komplexen Layouts - Vermeidung von Layout-Tabellen | Barrierefreiheit in Tabellen - scope-Attribut für th - headers- und id-Attribute - Zusammenfassungen und Beschreibungen - Screenreader-Optimierung | Responsive Tabellen - Herausforderungen auf kleinen Screens - Scrollbare Container - Transformation von Tabellen - Best Practices für mobile Darstellung","Tabellen sind mächtig, aber oft missverstanden. Wir lernen, wie man Tabellen für tabellarische Daten korrekt einsetzt, sie strukturiert und dabei sicherstellt, dass sie auch für Nutzer assistiver Technologien zugänglich bleiben."
9,Formulare: Grundlagen und Eingabetypen,"Das Formular-Element - Aufbau mit form - Action und Method (GET vs. POST) - Enctype für Datei-Uploads - Autocomplete und Novalidate | Text-Eingabefelder - Input type text - Password und hidden - Search, tel, url und email - Attribute wie placeholder und maxlength | Auswahl-Elemente - Checkboxen für Mehrfachauswahl - Radio-Buttons für Einzelauswahl - Select und Option für Dropdowns - Optgroup für Gruppierung | Textbereiche und Buttons - Das textarea-Element - Button-Typen (submit, reset, button) - Input type button vs. button-Element - Gestaltung und Verhalten | Labels und Verknüpfung - Das label-Element - Implizite vs. explizite Verknüpfung - Bedeutung für Screenreader - Klickbare Bereiche vergrößern","Interaktion beginnt mit Formularen. In diesem Modul erkunden wir die Grundlagen von HTML-Formularen, lernen verschiedene Eingabetypen kennen und verstehen, wie man Formulare benutzerfreundlich gestaltet."
10,"Formulare: Validierung, UX und Fehlermeldungen","Client-seitige Validierung - HTML5-Validierungsattribute - Required, pattern, min/max - Validierung von E-Mail und URL - Custom-Validierungsmeldungen | Benutzerfreundlichkeit (UX) - Fokus-Management - Tab-Reihenfolge (tabindex) - Visuelles Feedback bei Fehlern - Platzhalter vs. Labels | Fehlermeldungen und Feedback - Barrierefreie Fehlermeldungen - Live-Validierung vs. Submit-Validierung - Styling von validen/invaliden Feldern - ARIA-Live-Regionen für Feedback | Fortgeschrittene Eingabetypen - Date, time und datetime-local - Number und range - Color-Picker - File-Upload und multiple Files | Sicherheit in Formularen - Schutz vor Cross-Site-Scripting (XSS) - Cross-Site-Request-Forgery (CSRF) - Captchas und Alternativen - Sichere Übertragung mit HTTPS","Gute Formulare sind valide und sicher. Wir vertiefen das Thema Formulare mit einem Fokus auf Validierung, User Experience und Sicherheit, um Frustration bei Nutzern zu vermeiden und Daten korrekt zu verarbeiten."
11,Semantische Layout-Elemente und Seitenarchitektur,Semantische Bereiche - Header und Footer - Main als Hauptinhalt - Nav für Navigation - Aside für Zusatzinhalte | Artikel und Sektionen - Das article-Element - Das section-Element - Unterschiede und Anwendungsfälle - Verschachtelung von Sektionen | Seitenarchitektur - Planung der Dokumentstruktur - Outlining-Algorithmus (historisch vs. aktuell) - Hierarchie der Inhalte - Verteilung von Headings | Generische Container - Div als letztes Mittel - Span für Text-Styling - Wann Semantik nicht nötig ist - Vermeidung von Div-Suppe | Praktische Anwendung - Aufbau eines Blog-Layouts - Struktur einer Landingpage - Analyse bekannter Websites - Refactoring von unsemantischem Code,"Eine klare Architektur ist das Rückgrat jeder Webseite. Wir lernen die semantischen Layout-Elemente von HTML5 kennen und üben, wie man eine logische und robuste Seitenstruktur plant und umsetzt."
12,"Metadaten, SEO-Basics und Open Graph","Meta-Tags im Head - Charset und Encoding - Viewport-Einstellungen für Mobile - Author und Description - Keywords (historisch vs. aktuell) | Suchmaschinenoptimierung (SEO) - Bedeutung von Title und Description - Semantik als Ranking-Faktor - Canonical Tags - Robots-Meta-Tag | Open Graph Protokoll - Social Media Vorschau - og:title, og:image, og:url - Twitter Cards - Validierung von Social Tags | Strukturierte Daten - JSON-LD Einführung - Schema.org Vokabular - Rich Snippets in Suchergebnissen - Auszeichnung von Produkten und Artikeln | Favicons und Icons - Einbindung von Favicons - Icons für verschiedene Geräte (Apple Touch Icon) - Manifest-Dateien für PWA - SVG-Icons im Head","Metadaten arbeiten im Verborgenen, sind aber entscheidend für Auffindbarkeit und Darstellung. Wir beschäftigen uns mit SEO-Basics, Social-Media-Integration via Open Graph und strukturierten Daten für Suchmaschinen."
13,Barrierefreiheit mit HTML: Prinzipien und Praxis,"Grundprinzipien der Barrierefreiheit - WCAG-Richtlinien (Wahrnehmbar, Bedienbar, Verständlich, Robust) - Pour-Prinzip - Barrieren im Web erkennen - Rechtliche Grundlagen | Semantisches HTML als Basis - Warum Semantik Barrierefreiheit ist - Screenreader-Verhalten - Tastaturbedienung - Fokus-Management | Bilder und Alternativtexte - Wann alt-Text nötig ist - Leere alt-Attribute für dekorative Bilder - Komplexe Grafiken beschreiben - Bildunterschriften | Formulare barrierefrei gestalten - Labels und Fehlerzuordnung - Fieldset und Legend - Tastaturfallen vermeiden - Zeitbegrenzungen und Timeouts | Testen auf Barrierefreiheit - Browser-Tools (Lighthouse, Axe) - Screenreader-Simulation - Tastatur-Only-Navigation - Kontrast und Farbwahrnehmung","Das Web ist für alle da. Dieses Modul vermittelt die Prinzipien der digitalen Barrierefreiheit. Wir lernen, wie man durch sauberes HTML und bewusste Entscheidungen Webseiten erstellt, die von allen Menschen genutzt werden können."
14,ARIA gezielt einsetzen ohne Semantikbruch,"Einführung in ARIA - Was ist WAI-ARIA? - Die erste Regel von ARIA - Rollen, Zustände und Eigenschaften - Wann ARIA notwendig ist | ARIA-Rollen - Landmark-Roles (banner, main, navigation) - Widget-Roles (tablist, slider, dialog) - Document-Structure-Roles - Abstract Roles | ARIA-States und Properties - aria-expanded und aria-hidden - aria-label und aria-labelledby - aria-describedby für Zusatzinfos - aria-live für dynamische Updates | Häufige ARIA-Muster - Modale Dialoge und Fokus-Trapping - Tabs und Akkordeons - Dropdown-Menüs - Custom Checkboxen und Radios | ARIA-Fehler vermeiden - Redundante ARIA-Attribute - Falsche Verwendung von Rollen - Vergessene Zustandsänderungen - Validierung von ARIA-Code","ARIA schließt die Lücke, wo natives HTML an Grenzen stößt. Wir lernen, wie man WAI-ARIA gezielt einsetzt, um komplexe Widgets zugänglich zu machen, ohne dabei die native Semantik zu beschädigen."
15,Einführung in CSS-Integration und Trennung der Verantwortlichkeiten,"HTML und CSS verbinden - Inline-Styles (style-Attribut) - Internes CSS (style-Tag) - Externes CSS (link-Tag) - Vor- und Nachteile der Methoden | Selektoren und Spezifität - Element-Selektoren - Klassen und IDs - Attribut-Selektoren - Kaskade und Vererbung | Box-Modell und Layout - Content, Padding, Border, Margin - Display-Eigenschaften (block, inline, flex, grid) - Positionierung - Floats und Clear | Klassen-Namenskonventionen - BEM (Block Element Modifier) - Utility-First Ansätze - Semantische Klassennamen - Vermeidung von ID-Selektoren | Trennung der Verantwortlichkeiten - Struktur (HTML) vs. Präsentation (CSS) - Vermeidung von präsentationsbezogenem HTML - Wartbarkeit und Skalierbarkeit - CSS-Reset und Normalisierung","HTML ist für die Struktur, CSS für das Aussehen. Wir untersuchen die Schnittstelle zwischen beiden Sprachen, lernen verschiedene Einbindungsmethoden kennen und verstehen das Prinzip der Trennung von Struktur und Design."
16,Einführung in JavaScript-Anbindung und progressive Enhancement,HTML und JavaScript verbinden - Script-Tag und Platzierung - Async und Defer Attribute - Inline-Event-Handler vs. Event-Listener - DOM-Manipulation | Das Document Object Model (DOM) - Baumstruktur des Dokuments - Zugriff auf Elemente (querySelector) - Erstellen und Löschen von Knoten - Traversierung des DOM | Progressive Enhancement - Kerninhalt für alle bereitstellen - Erweiterung für fähige Browser - Fallbacks für fehlendes JS - Unobtrusive JavaScript | Event-Handling - Klick-Events und Formular-Events - Event-Bubbling und Capturing - Delegation von Events - Barrierefreiheit bei Events | Dynamische Inhalte - Nachladen von Inhalten (AJAX/Fetch) - Templating im Client - Web Components Basics - Shadow DOM Einführung,"Interaktivität bringt Leben ins Web. Dieses Modul führt in die Anbindung von JavaScript ein. Wir lernen das DOM kennen und verstehen, wie man Funktionalität nach dem Prinzip des Progressive Enhancement hinzufügt."
17,"Daten in HTML: data-Attribute, JSON-LD und Microdata","Benutzerdefinierte Daten - Das data-Attribut - Zugriff via CSS (attr) - Zugriff via JavaScript (dataset) - Anwendungsfälle und Grenzen | JSON-LD für strukturierte Daten - Einbindung im Script-Tag - Syntax und Aufbau - Vokabular von Schema.org - Testen mit Google Rich Results Test | Microdata und RDFa - Inline-Auszeichnung von Daten - Itemscope, itemtype, itemprop - Vor- und Nachteile gegenüber JSON-LD - Historische Entwicklung | Datenvisualisierung - SVG für Daten - Canvas-Element Grundlagen - Tabellen als Datenbasis - Zugängliche Diagramme | Datenformate im Web - XML vs. HTML - JSON als Datenaustauschformat - CSV und Tabellenkalkulation - Import und Export von Daten","HTML kann mehr als nur Text anzeigen. Wir lernen, wie man Daten semantisch in HTML einbettet, sei es für interne Skripte mittels data-Attributen oder für Suchmaschinen mittels JSON-LD und Microdata."
18,Komponenten-Denken mit wiederverwendbaren HTML-Strukturen,"Atomic Design Prinzipien - Atome, Moleküle, Organismen - Templates und Pages - Zerlegung von UIs in Komponenten - Wiederverwendbarkeit planen | HTML-Templates - Das template-Tag - Das slot-Tag - Klonen von Inhalten - Wiederverwendbare Fragmente | Web Components Einführung - Custom Elements definieren - Shadow DOM Isolierung - HTML Imports (veraltet) vs. ES Modules - Framework-Agnostik | Komponenten-Bibliotheken - Analyse bestehender UI-Kits - Strukturierung eigener Bibliotheken - Dokumentation von Komponenten - Storybook-Ansatz | Wartbarkeit und Skalierung - DRY-Prinzip (Dont Repeat Yourself) - Konsistenz im Markup - Refactoring von Komponenten - Versionierung von UI-Elementen","Moderne Webentwicklung ist komponentenbasiert. Wir übertragen das Konzept der Wiederverwendbarkeit auf HTML, lernen Atomic Design kennen und werfen einen ersten Blick auf Web Components und Templates."
19,"HTML-Patterns für Blogs, Doku-Seiten und Landingpages",Struktur eines Blogs - Artikel-Listen und Teaser - Detailansicht und Kommentare - Paginierung und Archive - Sidebar und Widgets | Dokumentations-Seiten - Inhaltsverzeichnis und Anker - Code-Blöcke und Syntax-Highlighting - Suchfunktion und Filter - Versionierungsschalter | Landingpages - Hero-Section und Call-to-Action - Features und Benefits - Testimonials und Social Proof - Footer und Kontakt | E-Commerce-Elemente - Produktkarten und Raster - Warenkorb und Checkout - Filter und Sortierung - Preisdarstellung und Rabatte | Dashboards und Admin-Bereiche - Sidebar-Navigation - Datentabellen und Widgets - Benachrichtigungen und Modals - Profil und Einstellungen,"Theorie trifft Praxis. Wir analysieren gängige Design-Patterns für verschiedene Website-Typen wie Blogs, Dokumentationen und Landingpages und setzen diese in sauberes, semantisches HTML um."
20,Performance-Grundlagen: Kritisches Markup und Ladeverhalten,"Kritisches Rendering - Render-Blocking Ressourcen - CSS und JS im Head - Inline-Critical-CSS - Preload und Prefetch | Bild-Optimierung - Richtige Formate und Kompression - Lazy Loading mit loading=lazy - Responsive Images (srcset) - Bildabmessungen (width/height) | Code-Minimierung - Entfernen von Whitespace - Komprimierung (Gzip/Brotli) - Caching-Strategien - CDN-Nutzung | Ladeverhalten optimieren - Asynchrones Laden von Skripten - Priorisierung von Ressourcen - Core Web Vitals (LCP, CLS, FID) - Messung der Performance | HTML-Best-Practices - Vermeidung tiefer Verschachtelung - Reduzierung der DOM-Größe - Effiziente Selektoren - Vermeidung von Reflows und Repaints","Performance ist ein Feature. In diesem Modul lernen wir, wie HTML die Ladezeit beeinflusst. Wir optimieren Bilder, Skripte und das Markup selbst, um schnelle und nutzerfreundliche Webseiten zu erstellen."
21,Sicherheit im Markup: sichere Einbettungen und Sanitizing-Bewusstsein,Cross-Site Scripting (XSS) - Ursachen und Angriffsvektoren - Reflected vs. Stored XSS - DOM-based XSS - Schutzmaßnahmen im Code | Content Security Policy (CSP) - Funktionsweise von CSP - Header-Konfiguration - Whitelisting von Quellen - Reporting von Verstößen | Sichere Einbettungen - Iframe-Sandbox-Attribut - Rel=noopener und noreferrer - Schutz vor Clickjacking - Referrer-Policy | Input Sanitization - Validierung vs. Sanitization - Escaping von Sonderzeichen - Bibliotheken zur Bereinigung - Gefahr von innerHTML | HTTPS und Sicherheit - Mixed Content Warnungen - Secure Cookies - HSTS und Transport Security - Subresource Integrity (SRI),"Sicherheit beginnt im Frontend. Wir beschäftigen uns mit potenziellen Angriffsvektoren wie XSS und Injection-Attacken und lernen, wie man durch sicheres Markup und Header-Konfigurationen Risiken minimiert."
22,"Internationalisierung: Sprache, Richtung und Lokalisierung im HTML","Sprache definieren - Das lang-Attribut im html-Tag - Sprachwechsel im Dokument - Bedeutung für Screenreader - Automatische Übersetzung | Schreibrichtung - LTR vs. RTL (Left-to-Right / Right-to-Left) - Das dir-Attribut - Bidirektionaler Text (bdo, bdi) - CSS logische Eigenschaften | Zeichenkodierung - UTF-8 als Standard - Probleme mit Sonderzeichen - Escaping von HTML-Entities - Font-Unterstützung | Lokalisierung (L10n) - Datums- und Zeitformate - Währungen und Zahlen - Übersetzungs-Keys im Markup - Platzbedarf verschiedener Sprachen | Kulturelle Aspekte - Farben und Symbole - Bildsprache und Metaphern - Adressformate und Namen - Rechtsvorschriften und Datenschutz","Das Web ist global. Dieses Modul zeigt, wie man HTML-Dokumente für verschiedene Sprachen und Kulturen vorbereitet, von der korrekten Zeichenkodierung bis hin zur Unterstützung von Rechts-nach-Links-Schreibrichtungen."
23,"Qualitätssicherung: Validatoren, Linting und Review-Checklisten",HTML-Validierung - W3C Markup Validation Service - Interpretation von Fehlermeldungen - Validierung als Workflow-Schritt - Automatisierte Tests | Linting-Tools - HTMLHint und Stylelint - Konfiguration von Regeln - Integration in den Editor - Pre-Commit Hooks | Code-Reviews - Checklisten für HTML-Qualität - Semantik-Check - Barrierefreiheits-Audit - Performance-Review | Browser-Kompatibilität - Can I Use nutzen - Fallbacks für ältere Browser - Polyfills und Shims - Cross-Browser-Testing | Dokumentation und Styleguides - Erstellung von HTML-Styleguides - Kommentierung von Code - Namenskonventionen dokumentieren - Onboarding neuer Entwickler,"Qualität ist kein Zufall. Wir etablieren Prozesse zur Qualitätssicherung, nutzen Validatoren und Linter, führen Code-Reviews durch und erstellen Checklisten für robusten und wartbaren HTML-Code."
24,Refactoring von Legacy-HTML zu moderner Semantik,"Analyse von Legacy-Code - Identifikation veralteter Tags (font, center) - Erkennen von Div-Suppe - Layout-Tabellen finden - Inline-Styles bewerten | Refactoring-Strategien - Schrittweise Modernisierung - Semantik einführen - CSS extrahieren - Barrierefreiheit nachrüsten | Veraltete Attribute ersetzen - Align, bgcolor, border etc. - Ersetzung durch CSS - Moderne Alternativen nutzen - Browser-Support beachten | Migration zu HTML5 - Doctype aktualisieren - Neue semantische Elemente nutzen - Input-Typen modernisieren - Video und Audio nativ einbinden | Testen nach Refactoring - Regressions-Tests - Visueller Vergleich - Funktionalität prüfen - Validierung des neuen Codes","Alter Code rostet nicht, aber er riecht. Wir lernen Strategien, um veraltetes HTML zu modernisieren, semantische Strukturen in Legacy-Projekte zu bringen und die Wartbarkeit langfristig zu sichern."
25,Von der Vorlage zur Produktion: ein vollständiges HTML-Projekt,"Projekt-Setup - Ordnerstruktur und Dateiorganisation - Boilerplate erstellen - Assets vorbereiten - Git-Repository initialisieren | Umsetzung der Startseite - Header und Navigation - Hero-Bereich und Teaser - Footer und Meta-Links - Responsive Anpassungen | Unterseiten erstellen - Kontaktformular umsetzen - Über-uns-Seite strukturieren - Impressum und Datenschutz - Konsistenz sicherstellen | Optimierung und Feinschliff - Meta-Tags und SEO - Performance-Check - Barrierefreiheits-Audit - Cross-Browser-Test | Deployment - Hosting-Optionen (Netlify, Vercel, GitHub Pages) - Build-Prozesse (falls nötig) - Domain-Konfiguration - Live-Schaltung und Monitoring","Zum Abschluss bringen wir alles zusammen. Wir realisieren ein vollständiges HTML-Projekt von der ersten Datei bis zum Deployment, unter Berücksichtigung aller gelernten Best Practices und Standards."
